ts	run	lane	url	status	kind	duration_ms	colo
2026-09-07T15:38:50.678Z	1	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	562	NRT
2026-09-07T15:38:51.294Z	2	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	615	NRT
2026-09-07T15:38:51.902Z	3	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	608	NRT
2026-09-07T15:38:52.397Z	4	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	495	NRT
2026-09-07T15:38:52.940Z	5	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	542	NRT
2026-09-07T15:38:53.542Z	6	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	601	NRT
2026-09-07T15:38:54.080Z	7	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	538	NRT
2026-09-07T15:38:54.556Z	8	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	476	NRT
2026-09-07T15:38:55.116Z	9	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	559	NRT
2026-09-07T15:38:55.586Z	10	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	470	NRT
2026-09-07T15:38:56.113Z	11	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	527	NRT
2026-09-07T15:38:56.611Z	12	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	496	NRT
2026-09-07T15:38:57.147Z	13	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	535	NRT
2026-09-07T15:38:57.711Z	14	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	564	NRT
2026-09-07T15:38:58.217Z	15	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	506	NRT
2026-09-07T15:38:58.844Z	16	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	627	NRT
2026-09-07T15:38:59.565Z	17	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	720	NRT
2026-09-07T15:39:00.116Z	18	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	550	NRT
2026-09-07T15:39:00.705Z	19	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	588	NRT
2026-09-07T15:39:01.325Z	20	head	https://money-management-server-z2-verqilo6ovhbkbjppve6bu7ocdm.stringsaeed.workers.dev	200	applied	620	NRT
