ts	run	lane	insert_100_ms	result
2026-09-07T15:06:02.373Z	1	trunk	78.70087499916553	pass
2026-09-07T15:06:17.119Z	1	head	71.40933300554752	pass
2026-09-07T15:06:48.935Z	2	trunk	77.18225000798702	pass
2026-09-07T15:08:02.929Z	2	head	70.89408299326897	pass-after-idle-retry
2026-09-07T15:09:14.870Z	3	trunk	98.32700000703335	pass
2026-09-07T15:09:37.608Z	3	head	70.69866700470448	pass
2026-09-07T15:10:59.668Z	4	trunk	75.61820900440216	pass
2026-09-07T15:11:21.194Z	4	head	72.35291600227356	pass
2026-09-07T15:12:01.036Z	5	trunk	97.29695899784565	pass
2026-09-07T15:12:20.844Z	5	head	72.18583400547504	pass
